,animal_id,session_id,dataset,experiment,score_spikes,score_video
0,1008,2019-03-08_12-38-20,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.6144249512670565,0.6243014944769332
2,1008,2019-03-12_11-28-33,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.5516113516113516,0.5551226551226552
4,1008,2019-03-13_13-01-19,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.5224242424242423,0.5062626262626263
6,1009,2019-03-08_14-39-42,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.7348148148148149,0.7585185185185187
8,1009,2019-03-12_15-41-39,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.6207407407407407,0.7466666666666668
10,1009,2019-03-13_15-32-33,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.719047619047619,0.8142857142857144
12,1012,2019-04-10_11-43-25,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.5500658761528328,0.5435221783047871
14,1012,2019-04-11_11-12-47,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.5172924648786716,0.6374457215836525
16,1012,2019-04-12_09-04-51,ChangeDetectionConflictDecor,audiofreq_in_big_change,0.5033459595959596,0.45995370370370375
18,2009,2018-08-22_14-05-50,ChangeDetectionConflict,audiofreq_in_big_change,0.5414141414141415,0.8153535353535354
20,2009,2018-08-24_11-56-35,ChangeDetectionConflict,audiofreq_in_big_change,0.6444444444444443,0.6244444444444444
21,2010,2018-08-15_10-09-24,ChangeDetectionConflict,audiofreq_in_big_change,0.4722592592592594,0.47774074074074074
23,2011,2018-08-10_10-14-01,ChangeDetectionConflict,audiofreq_in_big_change,0.6069444444444445,0.8055555555555555
25,2012,2018-08-13_14-31-39,ChangeDetectionConflict,audiofreq_in_big_change,0.6441077441077443,0.9058922558922557
27,2012,2018-08-14_14-30-15,ChangeDetectionConflict,audiofreq_in_big_change,0.7708333333333334,0.9125
29,2012,2018-08-15_14-13-50,ChangeDetectionConflict,audiofreq_in_big_change,0.7653846153846154,0.7742165242165241
31,2013,2018-08-23_16-18-45,ChangeDetectionConflict,audiofreq_in_big_change,0.447962962962963,0.545
33,2013,2018-08-24_13-24-37,ChangeDetectionConflict,audiofreq_in_big_change,0.5094949494949496,0.5296969696969697
34,2028,2019-12-13_12-46-26,VisOnlyTwolevels,audiofreq_in_big_change,0.5878003547814868,0.6069585550717627
36,2029,2019-12-13_09-59-24,VisOnlyTwolevels,audiofreq_in_big_change,0.560047281323877,0.655791962174941
38,2030,2020-01-16_11-18-35,ChangeDetectionConflict,audiofreq_in_big_change,0.6487179487179486,0.7641025641025643
40,2030,2020-01-22_11-49-17,ChangeDetectionConflict,audiofreq_in_big_change,0.5444444444444445,0.4866666666666667
42,2031,2020-01-23_16-24-17,ChangeDetectionConflict,audiofreq_in_big_change,0.41777777777777786,0.5488888888888889
44,2044,2021-04-20_16-48-03,ChangeDetectionConflict,audiofreq_in_big_change,0.6166666666666667,0.5722222222222224
46,2044,2021-04-22_13-45-10,ChangeDetectionConflict,audiofreq_in_big_change,0.518954248366013,0.5258169934640523
48,2045,2021-04-20_18-27-54,ChangeDetectionConflict,audiofreq_in_big_change,0.5622222222222221,0.5155555555555555
50,2045,2021-04-22_15-49-51,ChangeDetectionConflict,audiofreq_in_big_change,0.5518518518518518,0.543097643097643
51,2045,2021-04-28_19-13-59,ChangeDetectionConflict,audiofreq_in_big_change,0.4861111111111111,0.5708333333333332
53,2045,2021-04-29_15-55-10,ChangeDetectionConflict,audiofreq_in_big_change,0.479987004548408,0.554320987654321
55,2045,2021-04-29_15-55-12,ChangeDetectionConflict,audiofreq_in_big_change,0.6190476190476191,0.4396825396825397
57,2045,2021-04-30_15-26-10,ChangeDetectionConflict,audiofreq_in_big_change,0.4960913482652613,0.5264382960035133
