,animal_id,session_id,dataset,experiment,score_spikes,score_video
1,1008,2019-03-08_12-38-20,ChangeDetectionConflictDecor,visualori_in_big_change,0.8227350427350428,0.5768281101614435
3,1008,2019-03-12_11-28-33,ChangeDetectionConflictDecor,visualori_in_big_change,0.7974430293270873,0.4673791050602645
5,1008,2019-03-13_13-01-19,ChangeDetectionConflictDecor,visualori_in_big_change,0.5475308641975308,0.46604938271604934
7,1009,2019-03-08_14-39-42,ChangeDetectionConflictDecor,visualori_in_big_change,0.6775599128540306,0.4883805374001453
9,1009,2019-03-12_15-41-39,ChangeDetectionConflictDecor,visualori_in_big_change,0.624922943636394,0.5088385731660585
11,1009,2019-03-13_15-32-33,ChangeDetectionConflictDecor,visualori_in_big_change,0.6619635508524397,0.524103468547913
13,1012,2019-04-10_11-43-25,ChangeDetectionConflictDecor,visualori_in_big_change,0.8157064471879285,0.496002351557907
15,1012,2019-04-11_11-12-47,ChangeDetectionConflictDecor,visualori_in_big_change,0.7680361033302211,0.5181035377113808
17,1012,2019-04-12_09-04-51,ChangeDetectionConflictDecor,visualori_in_big_change,0.7757701471151764,0.4802235884107229
19,2009,2018-08-22_14-05-50,ChangeDetectionConflict,visualori_in_big_change,0.5771604938271604,0.5038580246913581
22,2010,2018-08-15_10-09-24,ChangeDetectionConflict,visualori_in_big_change,0.6391694725028059,0.5269360269360269
24,2011,2018-08-10_10-14-01,ChangeDetectionConflict,visualori_in_big_change,0.5022694262890341,0.4842501815541032
26,2012,2018-08-13_14-31-39,ChangeDetectionConflict,visualori_in_big_change,0.5644982589427034,0.5333175055397278
28,2012,2018-08-14_14-30-15,ChangeDetectionConflict,visualori_in_big_change,0.5008122157244964,0.44561403508771924
30,2012,2018-08-15_14-13-50,ChangeDetectionConflict,visualori_in_big_change,0.6026432415321303,0.6113485280151948
32,2013,2018-08-23_16-18-45,ChangeDetectionConflict,visualori_in_big_change,0.48425134536245656,0.4114434947768281
35,2028,2019-12-13_12-46-26,VisOnlyTwolevels,visualori_in_big_change,0.7872185911401597,0.5039941902687001
37,2029,2019-12-13_09-59-24,VisOnlyTwolevels,visualori_in_big_change,0.5652824541713432,0.5157126823793491
39,2030,2020-01-16_11-18-35,ChangeDetectionConflict,visualori_in_big_change,0.7987654320987652,0.49691358024691357
41,2030,2020-01-22_11-49-17,ChangeDetectionConflict,visualori_in_big_change,0.492798353909465,0.4897119341563785
43,2031,2020-01-23_16-24-17,ChangeDetectionConflict,visualori_in_big_change,0.861280694614028,0.4239587572920907
45,2044,2021-04-20_16-48-03,ChangeDetectionConflict,visualori_in_big_change,0.5506172839506173,0.6246913580246911
47,2044,2021-04-22_13-45-10,ChangeDetectionConflict,visualori_in_big_change,0.7668038408779149,0.41289437585733885
49,2045,2021-04-20_18-27-54,ChangeDetectionConflict,visualori_in_big_change,0.8038159371492702,0.5298540965207631
52,2045,2021-04-28_19-13-59,ChangeDetectionConflict,visualori_in_big_change,0.7664094650205762,0.46944444444444455
54,2045,2021-04-29_15-55-10,ChangeDetectionConflict,visualori_in_big_change,0.6117969821673526,0.5101075734603999
56,2045,2021-04-29_15-55-12,ChangeDetectionConflict,visualori_in_big_change,0.7119341563786007,0.39403292181069965
58,2045,2021-04-30_15-26-10,ChangeDetectionConflict,visualori_in_big_change,0.6998731274093594,0.5291318986971162
