,animal_id,session_id,dataset,experiment,score_spikes,score_video
1,1008,2019-03-08_12-38-20,ChangeDetectionConflictDecor,visualori_in_big_change,0.9218461538461539,0.5798974358974359
3,1008,2019-03-12_11-28-33,ChangeDetectionConflictDecor,visualori_in_big_change,0.9007905138339922,0.5037768994290733
5,1008,2019-03-13_13-01-19,ChangeDetectionConflictDecor,visualori_in_big_change,0.5155555555555557,0.4955555555555555
7,1009,2019-03-08_14-39-42,ChangeDetectionConflictDecor,visualori_in_big_change,0.773856209150327,0.5124183006535948
9,1009,2019-03-12_15-41-39,ChangeDetectionConflictDecor,visualori_in_big_change,0.6555405608037187,0.6239016344279503
11,1009,2019-03-13_15-32-33,ChangeDetectionConflictDecor,visualori_in_big_change,0.6804232804232804,0.49100529100529106
13,1012,2019-04-10_11-43-25,ChangeDetectionConflictDecor,visualori_in_big_change,0.9018518518518519,0.5022574955908289
15,1012,2019-04-11_11-12-47,ChangeDetectionConflictDecor,visualori_in_big_change,0.9011764705882354,0.512063492063492
17,1012,2019-04-12_09-04-51,ChangeDetectionConflictDecor,visualori_in_big_change,0.838296596191333,0.4935672514619883
19,2009,2018-08-22_14-05-50,ChangeDetectionConflict,visualori_in_big_change,0.6958333333333333,0.4958333333333334
22,2010,2018-08-15_10-09-24,ChangeDetectionConflict,visualori_in_big_change,0.6848484848484847,0.503030303030303
24,2011,2018-08-10_10-14-01,ChangeDetectionConflict,visualori_in_big_change,0.39256535947712407,0.46339869281045754
26,2012,2018-08-13_14-31-39,ChangeDetectionConflict,visualori_in_big_change,0.5739316239316239,0.5337606837606838
28,2012,2018-08-14_14-30-15,ChangeDetectionConflict,visualori_in_big_change,0.4670175438596491,0.44269005847953213
30,2012,2018-08-15_14-13-50,ChangeDetectionConflict,visualori_in_big_change,0.6423076923076924,0.5813390313390312
32,2013,2018-08-23_16-18-45,ChangeDetectionConflict,visualori_in_big_change,0.5354700854700855,0.44515669515669515
35,2028,2019-12-13_12-46-26,VisOnlyTwolevels,visualori_in_big_change,0.8732026143790851,0.496078431372549
37,2029,2019-12-13_09-59-24,VisOnlyTwolevels,visualori_in_big_change,0.6026936026936026,0.5222222222222223
39,2030,2020-01-16_11-18-35,ChangeDetectionConflict,visualori_in_big_change,0.8977777777777777,0.508888888888889
41,2030,2020-01-22_11-49-17,ChangeDetectionConflict,visualori_in_big_change,0.49444444444444446,0.5351851851851851
43,2031,2020-01-23_16-24-17,ChangeDetectionConflict,visualori_in_big_change,0.9366300366300367,0.5479853479853479
45,2044,2021-04-20_16-48-03,ChangeDetectionConflict,visualori_in_big_change,0.6133333333333333,0.5355555555555555
47,2044,2021-04-22_13-45-10,ChangeDetectionConflict,visualori_in_big_change,0.8320987654320988,0.44814814814814813
49,2045,2021-04-20_18-27-54,ChangeDetectionConflict,visualori_in_big_change,0.8961616161616163,0.5424242424242425
52,2045,2021-04-28_19-13-59,ChangeDetectionConflict,visualori_in_big_change,0.8201851851851852,0.515
54,2045,2021-04-29_15-55-10,ChangeDetectionConflict,visualori_in_big_change,0.6460038986354776,0.5686809616634179
56,2045,2021-04-29_15-55-12,ChangeDetectionConflict,visualori_in_big_change,0.8425925925925927,0.44999999999999996
58,2045,2021-04-30_15-26-10,ChangeDetectionConflict,visualori_in_big_change,0.8011857707509882,0.5614404918752743
